model,N,d,D_hat,bias,ci_lo,ci_hi
Pearson,65536,19,1.3930,-0.6070,1.3690,1.4173
Pearson,65536,20,1.3632,-0.6368,1.3389,1.3901
Pearson,262144,2,1.6632,-0.3368,1.6385,1.6865
Pearson,262144,3,1.9076,-0.0924,1.8884,1.9280
Pearson,262144,4,1.9411,-0.0589,1.9261,1.9582
Pearson,262144,5,1.9281,-0.0719,1.9141,1.9417
Pearson,262144,6,1.9164,-0.0836,1.8984,1.9399
Pearson,262144,7,1.8962,-0.1038,1.8707,1.9209
Pearson,262144,8,1.8686,-0.1314,1.8453,1.8928
Pearson,262144,9,1.8454,-0.1546,1.8232,1.8676
Pearson,262144,10,1.8252,-0.1748,1.7982,1.8543
Pearson,262144,11,1.8260,-0.1740,1.8070,1.8471
Pearson,262144,12,1.7869,-0.2131,1.7600,1.8132
Pearson,262144,13,1.7949,-0.2051,1.7579,1.8353
Pearson,262144,14,1.7560,-0.2440,1.7414,1.7695
Pearson,262144,15,1.7610,-0.2390,1.7310,1.7917
Pearson,262144,16,1.7261,-0.2739,1.6991,1.7552
Pearson,262144,17,1.7195,-0.2805,1.6823,1.7618
Pearson,262144,18,1.6967,-0.3033,1.6625,1.7343
Pearson,262144,19,1.6973,-0.3027,1.6670,1.7331
Pearson,262144,20,1.6703,-0.3297,1.6294,1.7197
Pearson,1048576,2,1.6650,-0.3350,1.6432,1.6882
Pearson,1048576,3,1.8991,-0.1009,1.8789,1.9214
Pearson,1048576,4,1.9558,-0.0442,1.9428,1.9688
Pearson,1048576,5,1.9835,-0.0165,1.9648,2.0028
Pearson,1048576,6,1.9818,-0.0182,1.9648,1.9990
Pearson,1048576,7,1.9781,-0.0219,1.9628,1.9933
Pearson,1048576,8,1.9793,-0.0207,1.9569,2.0042
Pearson,1048576,9,1.9454,-0.0546,1.9209,1.9698
Pearson,1048576,10,1.9277,-0.0723,1.9099,1.9482
Pearson,1048576,11,1.9473,-0.0527,1.9240,1.9716
Pearson,1048576,12,1.9499,-0.0501,1.9298,1.9704
Pearson,1048576,13,1.9355,-0.0645,1.9099,1.9639
Pearson,1048576,14,1.9072,-0.0928,1.8759,1.9435
Pearson,1048576,15,1.9156,-0.0844,1.8840,1.9464
Pearson,1048576,16,1.9057,-0.0943,1.8826,1.9274
Pearson,1048576,17,1.9065,-0.0935,1.8651,1.9466
Pearson,1048576,18,1.8647,-0.1353,1.8344,1.8942
Pearson,1048576,19,1.8806,-0.1194,1.8538,1.9104
Pearson,1048576,20,1.8864,-0.1136,1.8577,1.9157
Brownian,1024,2,1.3018,-0.6982,1.2917,1.3121
Brownian,1024,3,1.1346,-0.8654,1.1129,1.1573
Brownian,1024,4,1.0346,-0.9654,1.0027,1.0677
Brownian,1024,5,0.8664,-1.1336,0.8367,0.8941
Brownian,1024,6,0.8007,-1.1993,0.7684,0.8331
Brownian,1024,7,0.7201,-1.2799,0.6898,0.7518
Brownian,1024,8,0.6382,-1.3618,0.6110,0.6665
Brownian,1024,9,0.5993,-1.4007,0.5753,0.6255
Brownian,1024,10,0.5552,-1.4448,0.5237,0.5867
Brownian,1024,11,0.5164,-1.4836,0.4945,0.5377
Brownian,1024,12,0.4882,-1.5118,0.4600,0.5170
Brownian,1024,13,0.4525,-1.5475,0.4256,0.4822
Brownian,1024,14,0.4402,-1.5598,0.4123,0.4710
Brownian,1024,15,0.4120,-1.5880,0.3826,0.4439
Brownian,1024,16,0.3920,-1.6080,0.3653,0.4175
Brownian,1024,17,0.3566,-1.6434,0.3330,0.3831
Brownian,1024,18,0.3323,-1.6677,0.3131,0.3523
Brownian,1024,19,0.3440,-1.6560,0.3224,0.3671
Brownian,1024,20,0.3015,-1.6985,0.2805,0.3220
Brownian,4096,2,1.5346,-0.4654,1.5238,1.5447
Brownian,4096,3,1.5246,-0.4754,1.5082,1.5407
Brownian,4096,4,1.3678,-0.6322,1.3424,1.3932
Brownian,4096,5,1.2694,-0.7306,1.2388,1.3017
Brownian,4096,6,1.1968,-0.8032,1.1595,1.2348
Brownian,4096,7,1.1287,-0.8713,1.0973,1.1611
Brownian,4096,8,1.0212,-0.9788,0.9904,1.0542
Brownian,4096,9,0.9835,-1.0165,0.9504,1.0176
Brownian,4096,10,0.9571,-1.0429,0.9231,0.9918
Brownian,4096,11,0.8825,-1.1175,0.8483,0.9168
Brownian,4096,12,0.8942,-1.1058,0.8606,0.9351
Brownian,4096,13,0.7874,-1.2126,0.7626,0.8131
Brownian,4096,14,0.7696,-1.2304,0.7408,0.7982
Brownian,4096,15,0.7548,-1.2452,0.7297,0.7816
Brownian,4096,16,0.7115,-1.2885,0.6832,0.7399
Brownian,4096,17,0.6922,-1.3078,0.6682,0.7174
Brownian,4096,18,0.6856,-1.3144,0.6585,0.7163
Brownian,4096,19,0.6188,-1.3812,0.5945,0.6416
Brownian,4096,20,0.6272,-1.3728,0.5990,0.6563
Brownian,16384,2,1.6365,-0.3635,1.6253,1.6488
Brownian,16384,3,1.7473,-0.2527,1.7320,1.7627
Brownian,16384,4,1.6750,-0.3250,1.6583,1.6915
Brownian,16384,5,1.6083,-0.3917,1.5895,1.6269
Brownian,16384,6,1.5533,-0.4467,1.5275,1.5763
Brownian,16384,7,1.4921,-0.5079,1.4658,1.5189
Brownian,16384,8,1.4607,-0.5393,1.4363,1.4869
Brownian,16384,9,1.3783,-0.6217,1.3458,1.4110
Brownian,16384,10,1.3223,-0.6777,1.2949,1.3523
Brownian,16384,11,1.2898,-0.7102,1.2573,1.3219
Brownian,16384,12,1.2540,-0.7460,1.2224,1.2854
Brownian,16384,13,1.2366,-0.7634,1.2093,1.2637
Brownian,16384,14,1.1576,-0.8424,1.1284,1.1860
Brownian,16384,15,1.1380,-0.8620,1.1096,1.1697
Brownian,16384,16,1.0993,-0.9007,1.0681,1.1306
Brownian,16384,17,1.0785,-0.9215,1.0467,1.1119
Brownian,16384,18,1.0687,-0.9313,1.0338,1.1028
Brownian,16384,19,1.0058,-0.9942,0.9812,1.0319
Brownian,16384,20,1.0120,-0.9880,0.9831,1.0443
Brownian,65536,2,1.6623,-0.3377,1.6437,1.6813
Brownian,65536,3,1.8525,-0.1475,1.8407,1.8651
Brownian,65536,4,1.8567,-0.1433,1.8450,1.8677
Brownian,65536,5,1.8296,-0.1704,1.8142,1.8443
Brownian,65536,6,1.8020,-0.1980,1.7877,1.8168
Brownian,65536,7,1.7410,-0.2590,1.7218,1.7605
Brownian,65536,8,1.7426,-0.2574,1.7226,1.7623
Brownian,65536,9,1.6834,-0.3166,1.6619,1.7053
Brownian,65536,10,1.6423,-0.3577,1.6148,1.6686
Brownian,65536,11,1.6116,-0.3884,1.5882,1.6359
Brownian,65536,12,1.5839,-0.4161,1.5617,1.6064
Brownian,65536,13,1.5753,-0.4247,1.5492,1.6011
Brownian,65536,14,1.4870,-0.5130,1.4612,1.5130
Brownian,65536,15,1.5138,-0.4862,1.4844,1.5476
Brownian,65536,16,1.4661,-0.5339,1.4431,1.4907
Brownian,65536,17,1.4251,-0.5749,1.4016,1.4488
Brownian,65536,18,1.4318,-0.5682,1.4005,1.4641
Brownian,65536,19,1.4016,-0.5984,1.3703,1.4314
Brownian,65536,20,1.3774,-0.6226,1.3530,1.4016
Brownian,262144,2,1.6650,-0.3350,1.6405,1.6867
Brownian,262144,3,1.8738,-0.1262,1.8462,1.9006
Brownian,262144,4,1.9258,-0.0742,1.9129,1.9396
Brownian,262144,5,1.9241,-0.0759,1.9056,1.9424
Brownian,262144,6,1.9196,-0.0804,1.9016,1.9407
Brownian,262144,7,1.8973,-0.1027,1.8745,1.9185
Brownian,262144,8,1.8706,-0.1294,1.8460,1.8951
Brownian,262144,9,1.8352,-0.1648,1.8106,1.8619
Brownian,262144,10,1.8518,-0.1482,1.8233,1.8796
Brownian,262144,11,1.8432,-0.1568,1.8172,1.8702
Brownian,262144,12,1.7915,-0.2085,1.7594,1.8220
Brownian,262144,13,1.7977,-0.2023,1.7549,1.8434
Brownian,262144,14,1.8011,-0.1989,1.7744,1.8269
Brownian,262144,15,1.7105,-0.2895,1.6846,1.7373
Brownian,262144,16,1.7690,-0.2310,1.7332,1.8068
Brownian,262144,17,1.7011,-0.2989,1.6744,1.7287
Brownian,262144,18,1.6943,-0.3057,1.6600,1.7303
Brownian,262144,19,1.6937,-0.3063,1.6676,1.7191
Brownian,262144,20,1.6737,-0.3263,1.6453,1.7015
Brownian,1048576,2,1.6572,-0.3428,1.6338,1.6834
Brownian,1048576,3,1.9225,-0.0775,1.8958,1.9479
Brownian,1048576,4,1.9675,-0.0325,1.9492,1.9849
Brownian,1048576,5,1.9671,-0.0329,1.9530,1.9789
Brownian,1048576,6,1.9628,-0.0372,1.9448,1.9827
Brownian,1048576,7,1.9626,-0.0374,1.9422,1.9844
Brownian,1048576,8,1.9571,-0.0429,1.9358,1.9824
Brownian,1048576,9,1.9787,-0.0213,1.9490,2.0100
Brownian,1048576,10,1.9598,-0.0402,1.9409,1.9796
Brownian,1048576,11,1.9268,-0.0732,1.9030,1.9508
Brownian,1048576,12,1.9583,-0.0417,1.9349,1.9795
Brownian,1048576,13,1.9287,-0.0713,1.8996,1.9591
Brownian,1048576,14,1.9100,-0.0900,1.8866,1.9297
Brownian,1048576,15,1.8974,-0.1026,1.8626,1.9354
Brownian,1048576,16,1.8971,-0.1029,1.8711,1.9243
Brownian,1048576,17,1.8917,-0.1083,1.8653,1.9163
Brownian,1048576,18,1.8855,-0.1145,1.8685,1.9037
Brownian,1048576,19,1.8729,-0.1271,1.8494,1.9022
Brownian,1048576,20,1.8586,-0.1414,1.8261,1.8954
Persistent,1024,2,1.2823,-0.7177,1.2694,1.2951
Persistent,1024,3,1.1467,-0.8533,1.1155,1.1750
Persistent,1024,4,0.9991,-1.0009,0.9734,1.0271
Persistent,1024,5,0.8973,-1.1027,0.8718,0.9217
Persistent,1024,6,0.8387,-1.1613,0.8048,0.8739
Persistent,1024,7,0.7432,-1.2568,0.7161,0.7719
Persistent,1024,8,0.7339,-1.2661,0.7000,0.7654
Persistent,1024,9,0.6936,-1.3064,0.6609,0.7265
Persistent,1024,10,0.6398,-1.3602,0.6132,0.6667
Persistent,1024,11,0.6393,-1.3607,0.6097,0.6711
Persistent,1024,12,0.5896,-1.4104,0.5644,0.6192
Persistent,1024,13,0.5602,-1.4398,0.5343,0.5885
Persistent,1024,14,0.5201,-1.4799,0.5013,0.5379
Persistent,1024,15,0.5056,-1.4944,0.4775,0.5328
Persistent,1024,16,0.4808,-1.5192,0.4583,0.5032
Persistent,1024,17,0.4467,-1.5533,0.4262,0.4663
Persistent,1024,18,0.4351,-1.5649,0.4125,0.4581
Persistent,1024,19,0.4219,-1.5781,0.3990,0.4447
Persistent,1024,20,0.4009,-1.5991,0.3762,0.4290
Persistent,4096,2,1.5002,-0.4998,1.4883,1.5133
Persistent,4096,3,1.4597,-0.5403,1.4451,1.4772
Persistent,4096,4,1.3532,-0.6468,1.3341,1.3717
Persistent,4096,5,1.2768,-0.7232,1.2519,1.3028
Persistent,4096,6,1.1811,-0.8189,1.1544,1.2079
Persistent,4096,7,1.1330,-0.8670,1.1048,1.1629
Persistent,4096,8,1.0933,-0.9067,1.0608,1.1245
Persistent,4096,9,1.0109,-0.9891,0.9905,1.0319
Persistent,4096,10,0.9775,-1.0225,0.9424,1.0107
Persistent,4096,11,0.9379,-1.0621,0.9021,0.9754
Persistent,4096,12,0.9217,-1.0783,0.8896,0.9563
Persistent,4096,13,0.8584,-1.1416,0.8317,0.8834
Persistent,4096,14,0.8659,-1.1341,0.8363,0.8952
Persistent,4096,15,0.8144,-1.1856,0.7909,0.8379
Persistent,4096,16,0.8020,-1.1980,0.7703,0.8348
Persistent,4096,17,0.7744,-1.2256,0.7524,0.7971
Persistent,4096,18,0.7387,-1.2613,0.7200,0.7589
Persistent,4096,19,0.6994,-1.3006,0.6757,0.7235
Persistent,4096,20,0.6903,-1.3097,0.6706,0.7114
Persistent,16384,2,1.5880,-0.4120,1.5744,1.6010
Persistent,16384,3,1.6753,-0.3247,1.6642,1.6860
Persistent,16384,4,1.6157,-0.3843,1.6018,1.6307
Persistent,16384,5,1.5366,-0.4634,1.5159,1.5587
Persistent,16384,6,1.4882,-0.5118,1.4669,1.5092
Persistent,16384,7,1.4241,-0.5759,1.4018,1.4477
Persistent,16384,8,1.3721,-0.6279,1.3489,1.3972
Persistent,16384,9,1.3613,-0.6387,1.3407,1.3824
Persistent,16384,10,1.2861,-0.7139,1.2658,1.3090
Persistent,16384,11,1.2955,-0.7045,1.2703,1.3203
Persistent,16384,12,1.2094,-0.7906,1.1842,1.2356
Persistent,16384,13,1.2025,-0.7975,1.1736,1.2310
Persistent,16384,14,1.1746,-0.8254,1.1474,1.2021
Persistent,16384,15,1.1644,-0.8356,1.1378,1.1947
Persistent,16384,16,1.1111,-0.8889,1.0838,1.1411
Persistent,16384,17,1.0681,-0.9319,1.0424,1.0955
Persistent,16384,18,1.0694,-0.9306,1.0443,1.0938
Persistent,16384,19,1.0642,-0.9358,1.0413,1.0876
Persistent,16384,20,1.0259,-0.9741,1.0012,1.0521
Persistent,65536,2,1.6310,-0.3690,1.6145,1.6477
Persistent,65536,3,1.7898,-0.2102,1.7769,1.8016
