x,bias,model,N,d,width,F_model
0.1499,-0.8475,SRW,1024,4,6,-1.0709
1.1499,-1.2584,SRW,1024,4,6,-1.4607
2.1499,-1.5981,SRW,1024,4,6,-1.7682
3.1499,-1.8465,SRW,1024,4,6,-1.9300
4.1499,-1.9795,SRW,1024,4,6,-1.9817
5.1499,-2.0000,SRW,1024,4,6,-1.9954
6.1499,-2.0000,SRW,1024,4,6,-1.9988
7.1499,-2.0000,SRW,1024,4,6,-1.9997
8.1499,-2.0000,SRW,1024,4,6,-1.9999
9.1499,-2.0000,SRW,1024,4,6,-2.0000
10.1499,-2.0000,SRW,1024,4,6,-2.0000
11.1499,-2.0000,SRW,1024,4,6,-2.0000
-0.7346,-0.4106,SRW,1024,5,4,-0.6309
0.2654,-0.9118,SRW,1024,5,4,-1.1684
1.2654,-1.3915,SRW,1024,5,4,-1.6452
2.2654,-1.7780,SRW,1024,5,4,-1.8948
3.2654,-1.9867,SRW,1024,5,4,-1.9726
4.2654,-2.0000,SRW,1024,5,4,-1.9931
5.2654,-2.0000,SRW,1024,5,4,-1.9983
6.2654,-2.0000,SRW,1024,5,4,-1.9996
7.2654,-2.0000,SRW,1024,5,4,-1.9999
8.2654,-2.0000,SRW,1024,5,4,-2.0000
9.2654,-2.0000,SRW,1024,5,4,-2.0000
10.2654,-2.0000,SRW,1024,5,4,-2.0000
11.2654,-2.0000,SRW,1024,5,4,-2.0000
12.2654,-2.0000,SRW,1024,5,4,-2.0000
-0.2346,-0.6829,SRW,1024,5,5,-0.9051
0.7654,-1.1533,SRW,1024,5,5,-1.3644
1.7654,-1.5481,SRW,1024,5,5,-1.7348
2.7654,-1.8405,SRW,1024,5,5,-1.9219
3.7654,-1.9905,SRW,1024,5,5,-1.9797
4.7654,-2.0000,SRW,1024,5,5,-1.9949
5.7654,-2.0000,SRW,1024,5,5,-1.9987
6.7654,-2.0000,SRW,1024,5,5,-1.9997
7.7654,-2.0000,SRW,1024,5,5,-1.9999
8.7654,-2.0000,SRW,1024,5,5,-2.0000
9.7654,-2.0000,SRW,1024,5,5,-2.0000
10.7654,-2.0000,SRW,1024,5,5,-2.0000
11.7654,-2.0000,SRW,1024,5,5,-2.0000
0.2654,-0.9213,SRW,1024,5,6,-1.1179
